date,lat,lon,smajax,sminax,strike,q,depth,unc,q,mw,unc,q,s,mo,fac,mo_auth,mpp,mpr,mrr,mrt,mtp,mtt,eventid
1949-05-1905:05:27.36,-9.094,120.812,41.1,15.6,29.6,C,35.0,25.0,C,5.88,0.62,C,p,,,,,,,,,,896538
1949-05-2121:40:10.50,37.319,141.729,5.5,3.3,111.4,B,42.4,6.0,A,6.45,0.23,B,p,,,,,,,,,,896543
1949-05-2304:17:30.97,-30.689,-178.495,16.4,7.3,127.4,B,45.0,5.0,A,5.76,0.20,C,p,,,,,,,,,,896548
1949-05-2508:23:52.58,41.775,83.559,5.6,4.9,67.7,A,35.0,4.6,A,6.44,0.35,C,p,,,,,,,,,,896555
1949-06-1114:14:20.11,24.169,121.793,18.2,16.1,97.1,C,25.0,6.4,C,5.88,0.20,B,p,,,,,,,,,,896585
1949-06-1400:21:19.16,11.687,95.012,12.6,11.1,26.3,C,15.0,2.5,C,5.81,0.29,C,p,,,,,,,,,,896590
1949-06-1509:42:45.61,33.282,100.439,16.9,11.5,140.1,C,15.0,25.0,C,5.88,0.20,C,p,,,,,,,,,,896594
1949-06-1617:58:02.14,10.894,42.752,17.1,7.7,5.4,C,15.0,25.0,C,5.73,0.29,C,p,,,,,,,,,,896597
1949-06-2422:38:49.54,-6.343,105.438,13.1,6.0,35.8,B,60.0,6.1,A,6.28,0.20,B,p,,,,,,,,,,896607
1949-06-2608:41:25.45,-0.080,124.861,10.7,6.4,53.7,B,55.0,14.6,C,6.24,0.20,B,p,,,,,,,,,,896612
1949-07-0211:27:47.10,-51.023,162.020,9.6,8.5,162.8,A,15.0,25.0,C,6.23,0.20,B,p,,,,,,,,,,896625
1949-07-0219:57:14.30,16.529,147.463,6.4,5.0,59.0,A,15.0,3.9,A,7.10,0.20,B,d,6.60,19,bibliog,,,,,,,896626
1949-07-0403:40:44.32,27.764,56.450,9.3,5.1,19.3,C,15.0,16.9,C,5.71,0.24,B,p,,,,,,,,,,896629
1949-07-0808:02:19.89,39.241,70.878,5.7,5.1,15.5,A,20.0,24.9,C,5.79,0.31,C,p,,,,,,,,,,896639
1949-07-0818:18:10.03,72.051,-0.668,10.0,7.3,48.0,B,15.0,25.0,C,5.52,0.40,C,p,,,,,,,,,,896642
1949-07-1003:53:41.22,39.178,70.835,5.2,4.0,37.7,A,20.0,4.5,A,7.50,0.30,B,d,2.40,20,bibliog,,,,,,,896645
1949-07-1014:13:25.05,39.001,71.348,5.7,5.3,36.6,A,20.0,21.4,C,5.69,0.20,B,p,,,,,,,,,,896651
1949-07-1015:19:01.70,39.037,71.049,5.9,5.0,40.4,A,20.0,24.9,C,6.12,0.33,C,p,,,,,,,,,,896653
1949-07-1015:49:18.18,39.081,71.254,5.9,4.9,50.1,A,20.0,21.4,C,6.56,0.29,B,p,,,,,,,,,,896654
1949-07-1016:24:04.60,39.096,71.097,5.6,4.7,26.9,A,20.0,24.9,C,6.85,0.20,B,p,,,,,,,,,,896655
1949-07-1103:55:39.83,39.045,71.093,7.8,6.1,13.7,B,20.0,24.9,C,5.44,0.60,C,p,,,,,,,,,,896663
1949-07-1116:10:50.50,33.945,132.357,4.0,3.3,159.1,A,44.8,5.1,A,6.12,0.29,B,p,,,,,,,,,,896665
1949-07-1917:42:15.27,39.129,71.070,6.8,4.6,49.5,A,20.0,4.6,A,6.03,0.20,B,p,,,,,,,,,,896695
1949-07-2022:20:10.43,-10.598,101.694,13.0,8.1,33.6,B,35.0,25.0,C,5.85,0.20,B,p,,,,,,,,,,896696
1949-07-2315:03:35.47,38.718,26.482,5.4,3.7,27.8,A,15.0,4.7,A,6.54,0.20,B,p,,,,,,,,,,896705
1949-07-2715:11:41.32,-28.705,-176.200,11.2,6.1,135.0,B,25.0,5.1,A,6.54,0.20,B,p,,,,,,,,,,896718
1949-08-0107:39:49.97,35.261,74.499,9.7,5.4,64.4,B,15.0,10.2,C,5.69,0.30,C,p,,,,,,,,,,896726
1949-08-0519:08:51.66,-1.237,-78.305,8.0,5.4,72.3,B,15.0,6.4,C,6.45,0.20,B,p,,,,,,,,,,896736
1949-08-0600:35:38.78,-19.103,-174.378,8.6,6.0,134.8,A,65.0,6.0,A,6.88,0.22,B,p,,,,,,,,,,896737
1949-08-0807:09:13.54,-18.078,65.687,18.8,12.4,134.5,C,15.0,4.0,C,5.68,0.20,B,p,,,,,,,,,,896746
1949-08-1120:59:09.08,31.072,88.945,28.1,18.8,14.8,C,15.0,25.0,C,5.62,0.20,C,p,,,,,,,,,,896761
1949-08-1318:24:58.19,-0.001,146.394,7.6,5.9,52.5,A,35.0,25.0,C,6.43,0.33,C,p,,,,,,,,,,896764
1949-08-1718:44:17.95,39.503,40.671,6.0,3.5,22.8,B,15.0,4.5,A,6.78,0.20,B,p,,,,,,,,,,896772
1949-08-1720:45:26.03,39.218,40.717,8.1,6.2,175.0,B,15.0,6.1,C,5.51,0.28,C,p,,,,,,,,,,896774
1949-08-1813:33:30.75,8.407,-82.969,7.7,5.9,36.4,B,35.0,7.3,C,6.13,0.38,C,p,,,,,,,,,,896777
1949-08-2204:01:18.11,53.626,-133.000,6.1,4.3,51.6,A,10.0,3.5,A,8.20,0.40,C,d,2.30,21,bibliog,,,,,,,896789
1949-08-2315:13:29.60,-16.837,-73.792,12.1,7.1,45.9,B,25.0,8.8,C,6.02,0.35,C,p,,,,,,,,,,896796
1949-08-2319:43:37.31,52.458,-132.764,32.9,13.4,79.1,C,15.0,25.0,C,5.62,0.65,C,p,,,,,,,,,,896798
1949-08-2320:24:35.67,52.425,-132.105,7.1,5.0,57.1,A,10.0,4.9,A,6.29,0.20,B,p,,,,,,,,,,896799
1949-08-2322:03:57.01,39.021,71.149,6.4,5.8,134.3,A,20.0,24.9,C,5.71,0.20,B,p,,,,,,,,,,896801
1949-08-2409:22:08.35,-8.896,-108.491,23.4,12.0,42.4,C,15.0,2.1,C,5.91,0.20,C,p,,,,,,,,,,896804
1949-08-2914:32:29.02,38.976,70.933,13.6,6.4,155.5,C,20.0,24.9,C,5.61,0.64,C,p,,,,,,,,,,896821
1949-09-0502:54:04.80,16.993,121.268,27.0,14.3,169.8,C,15.0,7.3,C,6.00,0.20,B,p,,,,,,,,,,896830
1949-09-0503:18:14.74,17.345,121.319,18.3,13.2,6.8,C,15.0,21.6,C,6.03,0.33,C,p,,,,,,,,,,896831
1949-09-1209:17:07.15,-21.799,170.301,9.6,7.2,128.9,A,15.0,4.9,A,6.28,0.20,B,p,,,,,,,,,,896845
1949-09-1419:50:18.44,1.036,126.098,7.3,5.5,56.8,A,15.0,23.1,C,6.96,0.25,B,p,,,,,,,,,,896854
1949-09-1619:11:15.32,1.076,126.263,17.7,9.9,58.9,B,35.0,21.0,C,5.93,0.42,C,p,,,,,,,,,,896860
1949-09-2011:55:24.88,-29.747,-177.873,15.1,7.0,137.4,B,35.0,5.0,A,6.30,0.20,B,p,,,,,,,,,,896874
1949-09-2404:17:47.01,-6.299,154.211,10.3,8.1,93.2,A,35.0,23.5,C,6.16,0.25,B,p,,,,,,,,,,896881
1949-09-2515:15:05.18,-6.225,154.424,9.8,7.2,83.0,A,20.0,22.9,C,6.19,0.22,C,p,,,,,,,,,,896883
1949-09-2715:30:46.36,60.135,-149.487,6.3,4.8,43.0,A,15.0,3.5,A,6.74,0.24,B,p,,,,,,,,,,896889
1949-09-3003:58:55.95,-23.684,-176.052,15.5,6.3,123.5,B,25.0,8.3,C,6.39,0.25,B,p,,,,,,,,,,896894
1949-10-0118:00:47.10,-7.949,31.494,14.3,7.8,95.2,B,15.0,25.0,C,6.01,0.22,C,p,,,,,,,,,,896903
1949-10-0410:20:28.77,-0.793,-21.682,9.2,5.9,147.3,B,10.0,4.0,A,6.34,0.29,B,p,,,,,,,,,,896911
1949-10-0712:02:22.94,-33.869,57.691,8.7,6.5,54.3,A,10.0,3.9,A,6.56,0.29,B,p,,,,,,,,,,896920
1949-10-0820:34:26.56,22.155,121.746,14.7,12.4,125.7,C,25.0,12.2,C,5.97,0.25,C,p,,,,,,,,,,896923
1949-10-1921:00:22.66,-5.773,154.194,8.4,6.9,46.5,A,60.3,6.0,A,7.21,0.20,B,p,,,,,,,,,,896940
1949-10-2002:21:31.91,46.376,94.012,20.6,11.8,155.4,C,35.0,25.0,C,5.60,0.20,C,p,,,,,,,,,,896941
1949-10-2012:45:02.76,-4.714,153.871,6.8,5.6,94.1,A,60.0,4.8,A,6.49,0.51,C,p,,,,,,,,,,896944
1949-10-2121:34:25.26,-5.529,153.752,10.0,7.3,75.0,A,60.0,6.2,A,6.32,0.20,B,p,,,,,,,,,,896947
1949-10-3101:39:34.15,55.998,-135.815,9.4,4.9,58.8,C,15.0,3.8,A,6.16,0.20,B,p,,,,,,,,,,896979
1949-11-0113:04:23.92,46.700,93.644,11.7,9.3,125.8,C,25.0,25.0,C,5.91,0.20,B,p,,,,,,,,,,896986
1949-11-0202:32:35.55,-2.884,134.683,11.8,7.5,48.7,B,25.0,18.6,C,6.42,0.60,C,p,,,,,,,,,,896990
1949-11-0705:59:43.92,-14.240,167.024,8.9,6.7,124.7,A,35.0,5.0,A,6.72,0.20,B,p,,,,,,,,,,897003
1949-11-1115:44:22.97,22.677,121.198,13.5,9.3,138.2,C,25.0,6.2,C,5.92,0.23,C,p,,,,,,,,,,897011
1949-11-1304:42:37.56,10.558,-85.752,15.1,8.4,26.6,C,25.0,21.1,C,6.08,0.20,B,p,,,,,,,,,,897016
1949-11-2007:09:53.62,28.474,-112.310,7.1,4.8,46.0,B,10.0,25.0,C,6.84,0.20,B,p,,,,,,,,,,897037
1949-11-2316:50:59.51,38.429,26.381,6.2,5.8,8.6,A,15.0,4.9,C,5.59,0.23,B,p,,,,,,,,,,897043
1949-11-2708:42:18.55,-17.726,-173.272,9.5,6.7,135.3,A,15.0,4.7,A,6.71,0.20,B,p,,,,,,,,,,897049
1949-12-1706:53:32.24,-53.972,-69.562,11.5,7.0,101.2,B,10.0,25.0,C,7.69,0.25,C,p,,,,,,,,,,897093
1949-12-1715:07:57.66,-53.996,-70.057,9.9,6.6,108.7,A,10.0,25.0,C,7.58,0.46,C,p,,,,,,,,,,897095
1949-12-2522:40:40.08,18.738,-104.583,15.9,9.9,48.1,C,15.0,15.9,C,6.43,0.30,B,p,,,,,,,,,,897115
1949-12-2523:17:32.00,36.724,139.730,2.5,1.9,136.8,A,10.0,4.4,B,6.28,0.29,C,p,,,,,,,,,,897116
1949-12-2523:24:54.85,36.713,139.748,2.5,1.9,131.6,A,10.0,4.4,B,6.31,0.20,B,p,,,,,,,,,,897117
1949-12-2606:23:58.26,-15.880,-179.555,9.7,6.9,135.2,A,15.0,4.7,A,6.92,0.21,B,p,,,,,,,,,,897120
1949-12-2723:57:15.11,-60.052,-21.755,9.7,7.1,15.8,A,10.0,25.0,C,6.68,0.20,B,p,,,,,,,,,,897124
1949-12-2903:03:56.60,17.439,121.538,7.2,6.1,51.4,A,15.0,4.0,A,7.21,0.30,B,p,,,,,,,,,,897130
1950-01-0215:14:37.96,-11.242,165.006,8.6,6.9,113.3,A,15.0,8.6,C,6.12,0.41,C,p,,,,,,,,,,895104
1950-01-0302:51:56.73,17.576,121.428,6.2,5.6,171.9,A,30.0,21.6,C,6.47,0.44,C,p,,,,,,,,,,895106
1950-01-0311:06:28.64,-45.798,-77.077,19.9,11.4,131.6,C,15.0,25.0,C,6.27,0.20,B,p,,,,,,,,,,895109
1950-01-1003:05:40.37,10.031,-103.964,13.3,9.1,62.9,C,15.0,25.0,C,6.10,0.20,B,p,,,,,,,,,,895126
1950-01-1917:27:20.89,27.255,53.029,8.3,5.6,9.7,A,15.0,7.0,C,5.70,0.20,B,p,,,,,,,,,,895151
1950-01-2204:07:15.47,27.096,52.946,9.5,5.9,10.2,C,15.0,25.0,C,5.69,0.30,C,p,,,,,,,,,,895160
1950-01-3000:56:35.02,-53.472,-71.073,12.4,7.8,100.9,B,15.0,25.0,C,6.80,0.20,B,p,,,,,,,,,,895172
1950-02-0223:33:47.51,21.951,99.970,7.6,5.5,1.4,A,35.0,25.0,C,6.89,0.23,B,p,,,,,,,,,,895183
1950-02-0302:51:55.19,21.814,99.983,8.0,6.2,11.6,A,35.0,25.0,C,6.71,0.38,C,p,,,,,,,,,,895184
1950-02-0313:03:57.02,22.210,100.174,13.6,12.0,159.0,C,15.0,25.0,C,5.79,0.59,C,p,,,,,,,,,,895186
1950-02-0501:23:38.20,-49.015,164.359,9.6,8.3,166.7,B,15.0,8.5,C,6.44,0.30,B,p,,,,,,,,,,895193
1950-02-0710:37:29.24,45.949,151.590,16.3,7.5,153.0,C,35.0,12.6,C,5.94,0.55,C,p,,,,,,,,,,895202
1950-02-0818:19:52.39,46.676,-27.469,14.8,6.3,178.8,B,15.0,0.9,C,5.70,0.34,C,p,,,,,,,,,,895206
1950-02-1101:22:10.02,-43.089,41.549,11.7,8.5,52.3,A,15.0,25.0,C,6.07,0.21,B,p,,,,,,,,,,895214
1950-02-1222:14:58.84,-19.017,177.906,13.0,7.8,131.1,B,20.0,3.8,A,6.35,0.41,C,p,,,,,,,,,,895218
1950-02-1703:47:23.70,13.660,-90.893,12.7,6.7,37.3,B,55.0,5.0,A,5.81,0.20,C,p,,,,,,,,,,895230
1950-02-1805:04:30.14,-32.847,-111.138,43.2,19.9,3.9,C,15.0,25.0,C,5.84,0.56,C,p,,,,,,,,,,895232
1950-02-2505:47:12.57,45.708,99.024,11.9,7.6,139.5,C,15.0,25.0,C,6.08,0.39,C,p,,,,,,,,,,895255
1950-02-2509:51:41.24,27.792,130.412,9.3,7.6,127.3,B,25.0,5.8,C,6.31,0.20,B,p,,,,,,,,,,895256
1950-02-2603:35:46.87,27.223,90.817,13.3,6.6,101.8,C,15.0,25.0,C,5.65,0.60,C,p,,,,,,,,,,895260
1950-02-2810:21:00.70,45.882,143.491,4.9,4.0,117.9,A,329.0,5.3,A,7.70,0.20,B,d,3.90,20,bibliog,,,,,,,895264
1950-03-0108:23:55.06,-45.471,95.800,17.4,10.1,21.5,B,15.0,4.8,C,6.20,0.20,B,p,,,,,,,,,,895267
1950-03-0218:39:47.37,-60.237,-34.467,11.2,7.9,52.3,A,15.0,25.0,C,6.40,0.28,B,p,,,,,,,,,,895268
1950-03-0310:43:36.56,-28.186,-175.849,17.5,8.6,130.4,B,20.9,3.9,A,5.93,0.20,C,p,,,,,,,,,,895270
1950-03-0315:41:12.19,-60.426,-34.821,20.7,12.5,35.4,B,15.0,25.0,C,5.84,0.20,C,p,,,,,,,,,,895272
1950-03-0415:48:35.88,-59.820,-28.658,14.6,10.8,32.6,A,15.0,25.0,C,5.86,0.20,C,p,,,,,,,,,,895274
1950-03-0702:07:53.58,10.600,122.467,6.6,5.6,53.7,A,25.0,20.8,C,6.73,0.54,C,p,,,,,,,,,,895280
1950-03-0910:03:42.04,15.760,-60.544,8.4,6.6,143.9,B,15.0,11.8,C,5.73,0.20,C,p,,,,,,,,,,895286
1950-03-1804:39:37.89,-57.427,-23.658,21.3,12.3,34.3,C,15.0,25.0,C,6.36,0.20,B,p,,,,,,,,,,895300
1950-03-2616:53:28.10,14.485,39.628,13.4,9.6,11.2,C,15.0,25.0,C,5.57,0.58,C,p,,,,,,,,,,895317
1950-03-2713:04:08.53,53.380,172.220,6.6,4.6,164.3,A,25.0,4.0,A,6.41,0.36,C,p,,,,,,,,,,895319
1950-03-2721:18:36.03,-5.729,103.083,11.7,5.8,32.1,B,35.0,4.7,A,6.41,0.30,B,p,,,,,,,,,,895320
1950-04-0403:42:51.28,29.454,130.445,13.8,11.7,129.4,C,55.0,4.6,A,6.00,0.40,C,p,,,,,,,,,,895347
1950-04-0418:44:19.84,51.639,101.134,5.8,5.3,163.8,A,35.0,25.0,C,6.90,0.30,B,d,2.54,19,bibliog,,,,,,,895348
1950-04-0501:17:15.82,51.764,-177.699,15.1,7.3,178.2,C,15.0,45.0,C,6.01,0.34,C,p,,,,,,,,,,895349
1950-04-0602:43:31.95,37.972,58.338,11.2,5.6,11.7,B,15.0,25.0,A,5.50,0.20,C,p,,,,,,,,,,895353
1950-04-1419:59:59.68,-35.981,-102.471,12.2,7.4,145.9,B,15.0,7.4,C,6.20,0.20,B,p,,,,,,,,,,895370
1950-04-1514:51:26.75,13.618,-91.307,11.6,6.1,43.1,C,35.0,4.6,A,6.01,0.20,C,p,,,,,,,,,,895374
1950-04-2009:50:53.20,45.048,150.249,5.8,2.2,139.0,C,35.0,3.8,A,6.03,0.33,C,p,,,,,,,,,,895380
1950-04-2607:04:57.96,33.780,135.772,4.6,3.0,159.0,B,48.6,5.5,A,6.26,0.36,C,p,,,,,,,,,,895387
1950-04-3010:29:08.23,-24.768,-112.317,13.7,8.4,137.8,B,15.0,25.0,C,6.27,0.20,C,p,,,,,,,,,,895393
1950-05-0706:36:08.60,-56.429,147.088,16.5,11.3,137.7,B,15.0,2.5,C,6.20,0.20,B,p,,,,,,,,,,895411
1950-05-0906:10:32.87,11.808,47.355,10.9,7.3,15.6,C,15.0,25.0,C,5.73,0.20,B,p,,,,,,,,,,895415
1950-05-0909:20:03.91,38.039,38.515,7.8,5.1,165.4,B,15.0,4.9,C,5.44,0.34,C,p,,,,,,,,,,895416
1950-05-0911:16:58.51,38.519,58.439,7.2,4.4,22.6,B,15.0,25.0,C,6.10,0.26,B,p,,,,,,,,,,895417
1950-05-1023:39:25.60,-16.518,42.263,6.6,5.8,126.6,C,15.0,4.0,A,6.22,0.20,B,p,,,,,,,,,,895421
1950-05-1718:13:19.16,-20.517,169.509,6.7,5.6,118.5,A,35.0,23.2,C,6.67,0.20,B,p,,,,,,,,,,895436
1950-05-1902:38:15.69,-20.678,169.035,7.4,6.5,108.0,A,20.0,11.9,C,6.38,0.20,B,p,,,,,,,,,,895438
1950-05-1907:05:35.31,-20.595,168.853,8.7,7.3,103.2,A,15.0,4.5,A,6.20,0.20,B,p,,,,,,,,,,895440
1950-05-2009:37:28.52,28.438,-43.650,14.7,6.9,171.3,B,10.0,3.2,A,5.55,0.20,C,p,,,,,,,,,,895443
1950-05-2601:17:14.04,-20.253,169.723,9.7,6.8,125.3,A,50.0,6.0,A,7.07,0.31,C,p,,,,,,,,,,895457
1950-05-2601:17:28.19,-20.515,169.278,10.5,8.2,56.2,A,35.0,23.2,C,6.87,0.58,C,p,,,,,,,,,,895458
1950-05-2801:36:48.25,-20.305,169.389,9.0,7.1,120.2,A,15.0,23.2,C,6.25,0.21,B,p,,,,,,,,,,895468
1950-05-3113:13:14.62,29.853,130.607,11.9,10.0,98.2,B,46.0,5.1,A,6.18,0.62,C,p,,,,,,,,,,895478
1950-06-0407:29:51.62,6.912,126.495,16.2,9.7,63.1,B,15.0,32.9,C,5.95,0.23,C,p,,,,,,,,,,895485
1950-06-0816:07:34.28,-46.349,-14.837,12.4,7.3,174.2,C,15.0,25.0,C,6.45,0.20,B,p,,,,,,,,,,895494
1950-06-1122:11:15.14,-56.901,148.088,17.9,11.8,140.7,B,15.0,25.0,C,6.27,0.20,B,p,,,,,,,,,,895503
1950-06-1722:37:35.21,36.447,141.237,6.3,3.5,113.3,B,35.0,6.8,B,5.96,0.20,B,p,,,,,,,,,,895525
1950-06-1812:46:27.90,34.950,99.768,19.1,12.5,155.6,C,30.0,25.0,C,5.80,0.30,C,p,,,,,,,,,,895527
1950-06-1912:37:05.48,-6.985,112.054,8.9,6.1,33.1,A,45.0,25.0,C,6.58,0.20,B,p,,,,,,,,,,895528
1950-06-2106:55:46.52,-20.489,169.457,7.7,6.8,124.4,A,35.0,23.2,C,6.71,0.20,B,p,,,,,,,,,,895533
1950-06-2109:56:04.04,-3.581,145.663,17.4,8.0,66.7,B,20.0,11.5,C,6.33,0.20,C,p,,,,,,,,,,895534
1950-06-2422:25:35.67,-20.661,169.551,8.0,7.0,121.5,A,35.0,23.2,C,6.93,0.28,B,p,,,,,,,,,,895543
1950-06-2511:05:59.68,5.271,126.942,8.0,6.4,57.9,A,57.6,5.0,A,6.16,0.20,B,p,,,,,,,,,,895544
1950-06-2715:41:48.24,42.979,139.881,6.6,4.0,117.9,B,15.0,25.0,B,6.32,0.20,C,p,,,,,,,,,,895549
1950-07-0310:03:41.74,8.521,141.268,6.9,6.1,75.8,A,35.0,4.8,A,6.42,0.20,B,p,,,,,,,,,,895559
1950-07-0716:46:55.32,-11.197,163.780,10.2,7.3,101.0,A,15.0,10.8,C,6.23,0.20,B,p,,,,,,,,,,895566
1950-07-0716:54:13.74,-10.913,163.716,41.7,13.8,124.3,B,15.0,13.0,C,6.18,0.23,C,p,,,,,,,,,,895567
1950-07-0900:28:26.50,25.008,63.144,9.7,7.5,164.6,C,15.0,1.2,C,5.70,0.20,B,p,,,,,,,,,,895571
1950-07-0901:39:35.05,-32.679,-111.407,11.2,9.5,40.9,C,15.0,25.0,C,6.31,0.44,C,p,,,,,,,,,,895572
1950-07-0904:40:08.15,-8.270,-70.949,7.4,5.3,67.1,A,646.0,7.5,A,6.80,0.20,B,d,2.00,19,bibliog,,,,,,,895577
1950-07-1211:09:15.07,52.466,-167.192,11.1,6.3,16.3,C,15.0,10.5,C,6.07,0.20,B,p,,,,,,,,,,895587
1950-07-1801:33:55.68,39.221,143.641,8.2,5.8,132.2,C,10.0,9.3,C,5.87,0.20,B,p,,,,,,,,,,895604
1950-07-1816:25:50.67,9.679,125.421,19.0,13.9,83.1,A,15.0,16.1,C,6.06,0.20,B,p,,,,,,,,,,895605
1950-07-2009:30:53.20,-16.641,173.141,9.9,6.8,118.4,A,35.0,5.2,A,6.45,0.35,C,p,,,,,,,,,,895612
1950-07-2120:32:04.71,-16.156,168.457,8.2,7.6,98.7,A,15.0,4.7,A,6.36,0.21,B,p,,,,,,,,,,895618
1950-07-2223:08:06.19,-13.218,166.630,10.8,8.2,124.1,A,45.0,17.8,C,5.98,0.20,B,p,,,,,,,,,,895619
1950-07-2518:15:03.09,30.272,-42.033,14.4,6.3,167.0,B,15.0,9.6,C,5.62,0.20,B,p,,,,,,,,,,895622
1950-07-2804:55:20.14,-13.415,167.272,13.4,8.3,127.3,B,45.0,25.0,C,6.05,0.20,B,p,,,,,,,,,,895630
1950-07-2914:36:34.16,32.854,-115.845,8.9,4.9,9.8,C,10.0,5.4,C,5.88,0.25,C,p,,,,,,,,,,895636
1950-07-2916:45:58.61,2.384,127.233,7.8,6.0,50.7,A,30.0,17.1,C,6.33,0.20,B,p,,,,,,,,,,895637
1950-07-2923:49:07.37,-6.424,155.078,7.3,6.2,68.7,A,65.0,6.0,A,6.66,0.20,B,p,,,,,,,,,,895639
1950-08-0109:11:42.70,42.058,144.848,5.8,4.2,131.4,B,25.0,3.7,A,6.14,0.41,C,p,,,,,,,,,,895643
1950-08-0210:50:06.64,11.230,143.090,11.1,9.2,36.4,C,15.0,25.0,C,6.18,0.34,C,p,,,,,,,,,,895646
1950-08-0322:18:21.84,9.710,-69.819,5.2,4.3,123.4,A,15.0,3.5,A,6.40,0.23,B,p,,,,,,,,,,895653
1950-08-0509:16:55.09,-49.337,164.406,8.3,6.6,166.7,A,15.0,25.0,C,6.48,0.51,C,p,,,,,,,,,,895656
1950-08-0715:47:26.78,1.187,126.357,11.4,6.9,49.0,B,15.0,21.0,C,5.87,0.24,C,p,,,,,,,,,,895661
1950-08-1316:43:23.62,19.632,-70.071,6.0,5.1,121.0,A,15.0,11.6,C,5.82,0.20,B,p,,,,,,,,,,895676
1950-08-1422:51:26.22,-27.507,-62.838,8.5,6.1,58.1,A,610.0,6.7,A,7.10,0.20,B,d,5.60,19,bibliog,,,,,,,895680
1950-08-1514:09:34.65,28.363,96.445,6.9,5.1,9.0,A,15.0,25.0,C,8.60,0.30,B,d,1.00,22,bibliog,,,,,,,895681
1950-08-1518:38:48.89,28.520,95.731,8.6,7.5,164.0,A,25.0,4.6,A,6.17,0.39,C,p,,,,,,,,,,895686
1950-08-1521:01:35.23,27.337,96.777,12.5,9.2,156.4,C,25.0,25.0,C,5.81,0.62,C,p,,,,,,,,,,895688
1950-08-1521:42:22.02,25.343,92.944,9.5,8.9,141.6,B,25.0,25.0,C,6.01,0.20,B,p,,,,,,,,,,895689
1950-08-1523:44:45.54,28.498,95.131,12.4,9.4,153.0,C,25.0,25.0,C,5.80,0.38,C,p,,,,,,,,,,895691
1950-08-1605:33:11.83,28.665,96.746,10.7,7.9,171.8,C,25.0,25.0,C,5.75,0.31,C,p,,,,,,,,,,895692
1950-08-1606:42:05.22,28.380,95.894,8.9,7.8,161.5,B,25.0,25.0,C,6.23,0.44,C,p,,,,,,,,,,895693
1950-08-1615:29:29.91,29.063,94.866,10.1,7.7,155.6,C,25.0,3.0,C,5.75,0.32,C,p,,,,,,,,,,895697
1950-08-1616:36:01.87,28.180,94.968,14.8,9.2,154.8,C,25.0,25.0,C,5.66,0.20,B,p,,,,,,,,,,895698
1950-08-1617:51:34.82,27.492,92.802,9.7,8.7,51.4,B,15.0,25.0,C,5.96,0.20,B,p,,,,,,,,,,895699
1950-08-1619:25:39.62,28.716,95.963,12.9,9.5,151.0,C,25.0,25.0,C,5.72,0.20,B,p,,,,,,,,,,895700
1950-08-1620:11:19.67,26.886,97.217,16.7,8.4,160.4,C,25.0,9.0,C,5.48,0.24,C,p,,,,,,,,,,895702
1950-08-1623:21:27.32,26.859,96.968,15.1,9.7,167.1,C,25.0,9.0,C,5.67,0.35,C,p,,,,,,,,,,895705
1950-08-1701:54:17.89,28.427,94.844,8.7,7.6,154.9,B,25.0,25.0,C,6.14,0.51,C,p,,,,,,,,,,895706
1950-08-1703:26:18.28,34.130,80.883,16.1,9.8,98.8,C,15.0,25.0,C,5.64,0.20,B,p,,,,,,,,,,895707
1950-08-1705:29:19.02,29.622,94.774,11.1,9.5,159.2,C,25.0,25.0,C,5.74,0.20,B,p,,,,,,,,,,895709
1950-08-1801:07:56.88,29.211,95.805,7.7,6.0,19.3,A,20.0,17.5,C,6.40,0.25,B,p,,,,,,,,,,895717
1950-08-1816:58:54.33,29.723,96.557,7.4,6.0,151.7,A,25.0,25.0,C,6.09,0.29,B,p,,,,,,,,,,895719
1950-08-2009:03:42.34,29.473,95.062,8.3,7.2,149.2,A,25.0,25.0,C,5.76,0.22,B,p,,,,,,,,,,895726
1950-08-2105:51:34.52,27.186,97.157,11.3,8.3,158.8,A,25.0,9.0,C,5.74,0.35,C,p,,,,,,,,,,895729
1950-08-2108:29:47.34,33.039,91.483,10.7,8.4,4.1,B,15.0,25.0,C,5.96,0.20,B,p,,,,,,,,,,895730
1950-08-2202:22:41.33,29.932,95.511,9.6,8.4,115.1,C,25.0,3.7,A,5.96,0.20,B,p,,,,,,,,,,895736
1950-08-2206:02:16.44,0.388,98.227,33.0,11.5,36.0,C,30.0,5.5,C,5.84,0.20,B,p,,,,,,,,,,895737
1950-08-2206:43:15.42,28.970,94.584,10.1,6.5,147.0,C,25.0,25.0,C,5.91,0.24,B,p,,,,,,,,,,895738
1950-08-2207:40:20.17,53.260,159.509,18.6,10.9,160.6,C,64.4,5.3,A,5.97,0.41,C,p,,,,,,,,,,895739
1950-08-2213:22:25.03,26.992,97.171,11.1,7.1,156.2,C,25.0,9.0,C,6.07,0.37,C,p,,,,,,,,,,895741
1950-08-2303:09:24.96,29.207,95.019,6.4,6.0,165.4,A,25.0,3.0,C,5.97,0.32,C,p,,,,,,,,,,895744
1950-08-2315:34:02.87,27.048,97.020,13.4,7.3,155.0,C,25.0,9.0,C,5.68,0.20,B,p,,,,,,,,,,895745
1950-08-2318:47:03.28,28.504,96.476,7.2,5.9,169.4,A,25.0,25.0,C,5.91,0.20,B,p,,,,,,,,,,895746
1950-08-2401:27:53.25,28.249,96.672,10.5,7.3,153.8,B,25.0,25.0,C,5.64,0.20,B,p,,,,,,,,,,895747
