date,lat,lon,smajax,sminax,strike,q,depth,unc,q,mw,unc,q,s,mo,fac,mo_auth,mpp,mpr,mrr,mrt,mtp,mtt,eventid
1911-10-1423:23:59.16,30.759,80.279,42.2,10.1,16.4,C,20.0,25.0,C,6.49,0.22,B,p,,,,,,,,,,16958167
1911-12-1619:14:32.77,17.159,-99.994,13.8,12.1,100.1,B,30.0,8.2,C,7.30,0.31,C,p,,,,,,,,,,16958175
1912-08-0901:29:03.82,40.638,27.023,11.1,9.1,179.3,C,15.0,4.3,C,7.12,0.44,C,p,,,,,,,,,,16958205
1912-09-2920:51:23.88,7.299,136.888,23.8,10.4,69.7,C,15.0,16.8,C,7.47,0.45,C,p,,,,,,,,,,16958211
1913-03-1408:45:04.31,5.354,126.121,22.0,10.0,73.8,B,15.0,14.7,C,7.77,0.32,C,p,,,,,,,,,,914043
1913-05-3011:47:11.93,-4.685,151.767,18.4,10.8,70.2,B,15.0,30.1,C,7.16,0.42,C,p,,,,,,,,,,914073
1913-06-1409:33:19.12,43.603,25.952,8.4,5.9,10.6,C,15.0,5.2,C,6.63,0.40,C,p,,,,,,,,,,914076
1913-06-2604:57:19.49,-20.530,-173.854,25.3,11.5,140.6,C,25.0,10.9,C,7.74,0.57,C,p,,,,,,,,,,914078
1913-08-0117:11:03.92,48.117,156.005,12.5,9.9,81.7,B,15.0,25.0,C,6.87,0.62,C,p,,,,,,,,,,914087
1913-08-0622:14:37.83,-16.469,-73.823,19.4,16.6,155.3,C,25.0,6.3,C,7.74,0.30,C,p,,,,,,,,,,914088
1913-12-2115:37:56.50,24.245,102.227,14.8,9.0,2.6,B,15.0,25.0,C,6.68,0.55,C,p,,,,,,,,,,914108
1914-05-2614:22:47.68,-1.829,136.943,19.6,14.2,58.7,B,15.0,25.0,C,8.10,0.61,C,p,,,,,,,,,,913984
1914-06-2519:07:25.91,-3.924,101.820,15.0,8.1,45.7,B,35.0,15.6,C,7.57,0.20,C,p,,,,,,,,,,913990
1914-08-0422:41:39.94,42.747,92.090,15.6,9.9,34.0,B,15.0,4.0,A,7.28,0.21,B,p,,,,,,,,,,914001
1914-10-0322:07:07.36,37.629,30.021,15.0,7.7,27.9,B,15.0,12.3,C,7.02,0.33,C,p,,,,,,,,,,914008
1914-10-0902:39:14.76,32.604,76.181,26.3,8.8,30.6,C,20.0,14.4,C,6.27,0.20,B,p,,,,,,,,,,914010
1914-10-2306:18:44.81,4.239,128.141,23.7,12.5,82.8,C,35.0,31.1,C,7.41,0.47,C,p,,,,,,,,,,914014
1915-01-1306:52:42.15,42.179,13.585,8.3,6.2,53.4,C,15.0,6.3,C,6.68,0.59,C,p,,,,,,,,,,913880
1915-02-2818:59:12.03,23.359,123.492,13.8,7.6,84.4,B,20.0,7.1,C,7.33,0.52,C,p,,,,,,,,,,913884
1915-05-0105:00:10.49,48.361,155.162,9.6,7.5,135.2,B,30.0,14.5,C,7.80,0.40,C,d,7.00,20,bibliog,,,,,,,913898
1915-07-3101:31:32.97,54.121,162.052,11.3,9.0,154.2,A,20.0,14.3,C,7.30,0.21,B,p,,,,,,,,,,913925
1915-09-2308:14:47.22,14.484,38.688,25.4,11.8,20.6,C,10.0,25.0,C,6.23,0.20,C,p,,,,,,,,,,913942
1915-10-0306:53:21.23,40.258,-117.654,12.5,7.0,142.8,B,10.0,25.0,C,6.80,0.30,B,d,2.10,19,bibliog,,,,,,,913944
1915-12-0302:39:24.54,27.700,91.640,16.8,9.1,32.8,C,15.0,25.0,C,6.55,0.38,C,p,,,,,,,,,,913954
1915-12-1707:05:05.00,41.711,79.177,12.0,7.7,49.4,B,20.0,6.9,C,6.45,0.28,B,p,,,,,,,,,,913957
1916-01-0113:20:49.25,-4.739,152.548,17.0,11.0,76.8,B,35.0,28.4,C,7.89,0.42,C,p,,,,,,,,,,913746
1916-01-1306:18:35.47,-3.196,135.731,21.2,9.2,66.7,B,25.0,25.0,C,7.12,0.58,C,p,,,,,,,,,,913749
1916-01-1308:20:32.63,-3.987,138.011,17.8,14.0,103.4,C,35.0,25.0,C,7.73,0.64,C,p,,,,,,,,,,913750
1916-01-2406:55:13.83,40.074,37.329,11.7,6.2,2.2,C,15.0,3.2,C,6.96,0.27,B,p,,,,,,,,,,913755
1916-02-0621:51:33.87,50.459,179.051,14.6,8.6,159.6,C,15.0,25.0,C,6.99,0.31,C,p,,,,,,,,,,913761
1916-08-2806:39:41.96,29.730,80.745,11.5,6.4,35.6,B,20.0,7.6,C,6.96,0.52,C,p,,,,,,,,,,913843
1916-10-3115:31:00.79,49.755,157.998,17.2,9.2,132.5,C,15.0,25.0,C,7.28,0.43,C,p,,,,,,,,,,913864
1917-04-2911:55:30.62,56.285,115.329,24.3,8.7,64.8,C,10.0,25.0,C,6.48,0.20,B,p,,,,,,,,,,913481
1917-05-0118:26:20.65,-31.080,-176.461,32.3,16.1,159.5,C,15.0,25.0,C,8.20,0.40,C,d,2.30,21,bibliog,,,,,,,913483
1917-05-3108:47:32.21,54.934,-159.433,19.3,10.0,165.6,C,35.0,9.6,C,7.40,0.30,B,d,1.70,20,bibliog,,,,,,,913517
1917-06-2605:49:46.37,-14.739,-173.562,23.8,9.2,141.5,C,15.0,25.0,C,8.00,0.30,B,d,1.26,21,bibliog,,,,,,,913548
1917-07-2921:52:32.85,-3.687,141.572,21.1,8.9,72.5,B,35.0,13.6,C,7.41,0.20,B,p,,,,,,,,,,913586
1917-07-3023:54:09.05,28.379,104.188,13.8,11.4,38.3,C,15.0,25.0,C,6.91,0.20,B,p,,,,,,,,,,913594
1917-08-0515:50:25.74,-41.481,176.437,36.9,13.1,176.4,C,15.0,4.9,C,6.63,0.20,C,p,,,,,,,,,,913599
1917-12-2922:50:40.01,15.592,-96.487,19.3,15.3,41.0,C,20.0,8.2,C,6.93,0.49,C,p,,,,,,,,,,913745
1918-02-0705:20:20.51,6.993,126.059,15.4,10.0,86.5,B,35.0,20.8,C,6.86,0.20,B,p,,,,,,,,,,913057
1918-02-1306:07:18.12,23.582,117.104,11.6,9.7,133.4,B,15.0,25.0,C,7.32,0.20,B,p,,,,,,,,,,913072
1918-04-1300:51:22.17,-4.957,85.517,31.0,17.3,25.4,C,10.0,25.0,C,6.33,0.20,B,p,,,,,,,,,,913116
1918-04-2122:32:29.88,33.647,-117.433,14.7,7.2,38.3,C,10.0,4.5,C,6.70,0.30,B,d,1.40,19,bibliog,,,,,,,913126
1918-05-2014:36:07.02,7.506,-34.933,13.2,7.8,145.9,B,15.0,10.5,C,7.27,0.20,B,p,,,,,,,,,,913146
1918-05-2017:55:07.21,-29.292,-71.857,17.3,10.6,16.4,C,20.0,16.0,C,6.81,0.42,C,p,,,,,,,,,,913147
1918-05-2018:03:40.80,-2.268,153.171,28.1,13.0,85.9,C,15.0,25.0,C,6.98,0.20,C,p,,,,,,,,,,913148
1918-06-0404:03:34.18,-6.447,146.159,33.8,9.6,79.6,C,15.0,7.7,C,6.23,0.38,C,p,,,,,,,,,,913160
1918-07-0106:08:35.55,8.957,126.468,19.2,10.8,79.7,C,35.0,15.8,C,6.51,0.67,C,p,,,,,,,,,,913190
1918-07-0306:52:08.74,-3.211,143.404,15.9,9.5,72.5,B,15.0,5.6,C,7.49,0.32,C,p,,,,,,,,,,913192
1918-07-0810:22:08.90,24.599,90.853,10.6,7.5,21.5,A,15.0,25.0,C,7.19,0.42,C,p,,,,,,,,,,913196
1918-07-2106:09:45.69,-7.331,155.548,17.4,11.8,94.1,A,20.0,14.6,C,6.65,0.20,B,p,,,,,,,,,,913206
