Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Sb I5 At Denny,Motor Vehicle Accident Freeway,11/10/2014 02:53:00 AM +0000,47.620742,-122.328647,"(47.620742, -122.328647)",F140122833
51st Av S / S Bangor St,Motor Vehicle Accident,11/10/2014 01:22:00 PM +0000,47.506147,-122.270142,"(47.506147, -122.270142)",F140122962
N 38th St / Albion Pl N,Motor Vehicle Accident,11/10/2014 02:42:00 PM +0000,47.65272,-122.344722,"(47.65272, -122.344722)",F140122980
8th Av Sw / Sw Roxbury St,Motor Vehicle Accident,11/10/2014 10:36:00 PM +0000,47.517303,-122.345423,"(47.517303, -122.345423)",F140123132
5th Av S / S Weller St,Motor Vehicle Accident,11/10/2014 08:26:00 PM +0000,47.597517,-122.327675,"(47.597517, -122.327675)",F140123093
N 68th St / Dayton Av N,Motor Vehicle Accident,11/10/2014 11:12:00 PM +0000,47.678729,-122.352608,"(47.678729, -122.352608)",F140123152
Ne 40th St / 15th Av Ne,Motor Vehicle Accident,11/10/2014 11:30:00 PM +0000,47.65534,-122.312149,"(47.65534, -122.312149)",F140123160
S Della St / Cheasty Blvd S,Motor Vehicle Accident,11/10/2014 11:37:00 PM +0000,47.572549,-122.299171,"(47.572549, -122.299171)",F140123166
14328 Linden Av N,Motor Vehicle Accident,11/10/2014 11:42:00 PM +0000,47.732562,-122.347783,"(47.732562, -122.347783)",F140123167
Olive Way / Boren Av,Motor Vehicle Accident,11/11/2014 01:31:00 AM +0000,47.61545,-122.33073,"(47.61545, -122.33073)",F140123211
23rd Av / E Marion St,Motor Vehicle Accident,11/11/2014 08:32:00 AM +0000,47.610023,-122.302761,"(47.610023, -122.302761)",F140123342
9th Av / Stewart St,Motor Vehicle Accident,11/11/2014 04:08:00 PM +0000,47.615616,-122.334436,"(47.615616, -122.334436)",F140123426
44th Av S / S Thistle St,Motor Vehicle Accident,11/11/2014 09:05:00 AM +0000,47.527903,-122.27804,"(47.527903, -122.27804)",F140123345
N 143rd St / Stone Av N,Motor Vehicle Accident,11/11/2014 11:20:00 PM +0000,47.732311,-122.342372,"(47.732311, -122.342372)",F140123542
M L King Jr Way S / S Myrtle St,Motor Vehicle Accident,11/11/2014 06:46:00 PM +0000,47.538884,-122.282179,"(47.538884, -122.282179)",F140123470
California Av Sw / Sw Genesee St,Motor Vehicle Accident,11/11/2014 11:13:00 PM +0000,47.56472,-122.386772,"(47.56472, -122.386772)",F140123538
4th Av S / S Royal Brougham Way,Motor Vehicle Accident,11/12/2014 01:13:00 AM +0000,47.592394,-122.329049,"(47.592394, -122.329049)",F140123572
4th Av S / S Royal Brougham Way,Motor Vehicle Accident,11/12/2014 01:45:00 AM +0000,47.592394,-122.329049,"(47.592394, -122.329049)",F140123581
4th Av S / S Royal Brougham Way,Motor Vehicle Accident,11/12/2014 01:52:00 AM +0000,47.592394,-122.329049,"(47.592394, -122.329049)",F140123583
Eb I90 At Mercer Way,Motor Vehicle Accident Freeway,11/13/2014 04:54:00 PM +0000,47.590523,-122.249289,"(47.590523, -122.249289)",F140124202
Lake Washington Blvd E / E Interlaken Blvd,Motor Vehicle Accident,11/12/2014 04:16:00 PM +0000,47.630773,-122.297248,"(47.630773, -122.297248)",F140123819
Wb I90 Exp At Tunnel,Motor Vehicle Accident Freeway,11/13/2014 03:50:00 PM +0000,47.590361,-122.30246,"(47.590361, -122.30246)",F140124182
GOLF DR S / S CHARLES ST,Motor Vehicle Accident,11/12/2014 06:22:00 AM +0000,47.594282,-122.316577,"(47.594282, -122.316577)",F140123659
Eb Wsea Frwy At Highrise,Motor Vehicle Accident Freeway,11/12/2014 02:22:00 PM +0000,47.571221,-122.343788,"(47.571221, -122.343788)",F140123773
35th Av S / S Charlestown St,Motor Vehicle Accident,11/12/2014 09:50:00 PM +0000,47.569765,-122.288838,"(47.569765, -122.288838)",F140123935
Montlake Blvd Ne / Ne Pacific St,Motor Vehicle Accident,11/12/2014 10:20:00 PM +0000,47.648997,-122.304591,"(47.648997, -122.304591)",F140123952
5th Av / Olive Way,Motor Vehicle Accident,11/13/2014 06:19:00 AM +0000,47.612665,-122.337394,"(47.612665, -122.337394)",F140124088
Roosevelt Way Ne / Ne 77th St,Motor Vehicle Accident,11/13/2014 02:16:00 AM +0000,47.684922,-122.317521,"(47.684922, -122.317521)",F140124038
