Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Phinney Av N / N 39th St,Motor Vehicle Accident,11/09/2011 10:04:00 PM +0000,47.654152,-122.354466,"(47.654152, -122.354466)",F110104134
Nb I5 At Spring,Motor Vehicle Accident Freeway,11/09/2011 07:04:00 PM +0000,47.607213,-122.329728,"(47.607213, -122.329728)",F110104079
M L King Jr Way S / S Othello St,Motor Vehicle Accident,11/09/2011 04:23:00 AM +0000,47.537042,-122.281293,"(47.537042, -122.281293)",F110103940
PHINNEY AV N / N 46TH ST,Motor Vehicle Accident,11/09/2011 03:32:00 AM +0000,47.662141,-122.353981,"(47.662141, -122.353981)",F110103930
Eb I90 Exp At Midspan,Motor Vehicle Accident Freeway,11/09/2011 01:49:00 AM +0000,47.589708,-122.268127,"(47.589708, -122.268127)",M110103892
32nd Av S / S Graham St,Motor Vehicle Accident,11/08/2011 11:12:00 PM +0000,47.546136,-122.291552,"(47.546136, -122.291552)",F110103848
Nb I5 At Albro,Motor Vehicle Accident Freeway,11/08/2011 10:53:00 PM +0000,47.548716,-122.311984,"(47.548716, -122.311984)",F110103838
23rd Av E / E Roy St,Motor Vehicle Accident,11/08/2011 05:37:00 PM +0000,47.6252,-122.30242,"(47.6252, -122.30242)",F110103764
Cedar St / 3rd Av,Motor Vehicle Accident,11/08/2011 04:07:00 PM +0000,47.617131,-122.348898,"(47.617131, -122.348898)",F110103739
Columbia St / Western Av,Motor Vehicle Accident,11/08/2011 02:15:00 PM +0000,47.602804,-122.336044,"(47.602804, -122.336044)",F110103717
14th Av Nw / Nw Market St,Motor Vehicle Accident,11/08/2011 01:17:00 AM +0000,47.668665,-122.373589,"(47.668665, -122.373589)",F110103592
University Br,Motor Vehicle Accident,11/07/2011 09:26:00 PM +0000,47.652964,-122.320204,"(47.652964, -122.320204)",F110103533
Rainier Av S / S Mcclellan St,Motor Vehicle Accident,11/07/2011 08:33:00 PM +0000,47.57835,-122.298151,"(47.57835, -122.298151)",F110103516
Ne 110th St / Exeter Av Ne,Motor Vehicle Accident,11/07/2011 02:08:00 AM +0000,47.709433,-122.277728,"(47.709433, -122.277728)",F110103337
15th Av W / Gilman Dr W,Motor Vehicle Accident,11/07/2011 01:01:00 AM +0000,47.642944,-122.37617,"(47.642944, -122.37617)",F110103316
4th Av Ne / Ne 80th St,Motor Vehicle Accident,11/07/2011 12:26:00 PM +0000,47.686803,-122.32433,"(47.686803, -122.32433)",F110103308
Ballard Av Nw / 17th Av Nw,Motor Vehicle Accident,11/06/2011 11:48:00 PM +0000,47.662939,-122.378893,"(47.662939, -122.378893)",F110103298
2821 S Walden St,Motor Vehicle Accident,11/06/2011 10:55:00 PM +0000,47.572163,-122.296173,"(47.572163, -122.296173)",F110103278
Sb I5 At Denny,Motor Vehicle Accident Freeway,11/06/2011 10:30:00 PM +0000,47.616393,-122.329156,"(47.616393, -122.329156)",F110103270
Nb I5 At Ship Canal Bridge,Motor Vehicle Accident Freeway,11/06/2011 08:51:00 PM +0000,47.647664,-122.322393,"(47.647664, -122.322393)",F110103249
Wb Wsea Frwy At Delridge,Motor Vehicle Accident Freeway,11/06/2011 11:21:00 AM +0000,47.571142,-122.35688,"(47.571142, -122.35688)",F110103160
Highland Park Way Sw / Duwamish River Trl,Motor Vehicle Accident,11/06/2011 08:18:00 AM +0000,47.540353,-122.342181,"(47.540353, -122.342181)",F110103123
6th Av / Union St,Motor Vehicle Accident,11/06/2011 07:22:00 AM +0000,47.61015,-122.333556,"(47.61015, -122.333556)",F110103100
Sb I5 At Ship Canal Bridge,Motor Vehicle Accident Freeway,11/06/2011 02:43:00 AM +0000,47.646334,-122.322987,"(47.646334, -122.322987)",F110103022
Sb I5 At Mercer,Motor Vehicle Accident Freeway,11/06/2011 02:17:00 AM +0000,47.622727,-122.328659,"(47.622727, -122.328659)",F110103016
Ne 143rd St / 15th Av Ne,Motor Vehicle Accident,11/06/2011 01:40:00 AM +0000,47.732126,-122.312724,"(47.732126, -122.312724)",F110103002
N 130th St / Aurora Av N,Motor Vehicle Accident,11/05/2011 08:58:00 PM +0000,47.723212,-122.344977,"(47.723212, -122.344977)",F110102890
4th Av S / S Brandon St,Motor Vehicle Accident,11/05/2011 08:04:00 PM +0000,47.55414,-122.329545,"(47.55414, -122.329545)",F110102871
NB I5 AT SPOKANE,Motor Vehicle Accident Freeway,11/05/2011 07:01:00 PM +0000,47.566974,-122.32047,"(47.566974, -122.32047)",F110102852
4726 50th Av S,Motor Vehicle Accident,11/05/2011 08:48:00 AM +0000,47.560278,-122.270701,"(47.560278, -122.270701)",F110102759
5200 25th Av Ne,Motor Vehicle Accident,11/05/2011 08:15:00 AM +0000,47.666835,-122.300609,"(47.666835, -122.300609)",F110102748
1600 15th Av W,Motor Vehicle Accident,11/05/2011 05:47:00 AM +0000,47.633499,-122.376195,"(47.633499, -122.376195)",F110102722
S Charles St / Rainier Av S,Motor Vehicle Accident,11/05/2011 03:41:00 AM +0000,47.594072,-122.31015,"(47.594072, -122.31015)",F110102702
N 46th St / Whitman Av N,Motor Vehicle Accident,11/05/2011 03:12:00 AM +0000,47.662127,-122.346089,"(47.662127, -122.346089)",F110102686
Sb I5 At Convention Center,Motor Vehicle Accident Freeway,11/05/2011 01:47:00 AM +0000,47.607412,-122.330402,"(47.607412, -122.330402)",F110102650
Nb I5 At Michigan,Motor Vehicle Accident Freeway,11/05/2011 12:56:00 PM +0000,47.552107,-122.316869,"(47.552107, -122.316869)",F110102637
Nb I5 Fr Northgate,Motor Vehicle Accident,11/05/2011 12:15:00 PM +0000,47.708629,-122.328634,"(47.708629, -122.328634)",F110102628
Nb I5 Fr Northgate,Motor Vehicle Accident Freeway,11/04/2011 11:47:00 PM +0000,47.708629,-122.328634,"(47.708629, -122.328634)",F110102621
Nb I5 At Michigan,Motor Vehicle Accident Freeway,11/04/2011 11:40:00 PM +0000,47.552107,-122.316869,"(47.552107, -122.316869)",F110102615
Nb I5 At Albro,Motor Vehicle Accident Freeway,11/04/2011 11:27:00 PM +0000,47.548716,-122.311984,"(47.548716, -122.311984)",F110102610
1st Av Nw / Nw 97th St,Motor Vehicle Accident,11/04/2011 11:05:00 PM +0000,47.69966,-122.358076,"(47.69966, -122.358076)",F110102596
Sw Roxbury St / 11th Av Sw,Motor Vehicle Accident,11/04/2011 10:40:00 PM +0000,47.517326,-122.349244,"(47.517326, -122.349244)",F110102590
8500 5th Av Ne,Motor Vehicle Accident,11/04/2011 09:36:00 PM +0000,47.690397,-122.323,"(47.690397, -122.323)",F110102569
Nb Sr99 To Western,Motor Vehicle Accident Freeway,11/04/2011 08:28:00 PM +0000,47.6109,-122.345539,"(47.6109, -122.345539)",F110102540
6820 Perimeter Rd S,Motor Vehicle Accident,11/04/2011 08:20:00 PM +0000,47.541245,-122.307458,"(47.541245, -122.307458)",F110102535
Nb I5 At Holgate,Motor Vehicle Accident Freeway,11/04/2011 06:43:00 PM +0000,47.587138,-122.320156,"(47.587138, -122.320156)",F110102504
Swift Av S / S Albro Pl,Motor Vehicle Accident,11/04/2011 03:28:00 PM +0000,47.548886,-122.311131,"(47.548886, -122.311131)",F110102454
33RD AV S / RAINIER AV S,Motor Vehicle Accident,11/04/2011 02:30:00 AM +0000,47.569938,-122.291023,"(47.569938, -122.291023)",F110102338
3618 Sw Alaska St,Motor Vehicle Accident,11/04/2011 02:02:00 AM +0000,47.561072,-122.377682,"(47.561072, -122.377682)",F110102329
40th Av Sw / Sw Andover St,Motor Vehicle Accident,11/03/2011 11:05:00 PM +0000,47.56837,-122.382808,"(47.56837, -122.382808)",F110102294
7132 Delridge Way Sw,Motor Vehicle Accident,11/03/2011 09:44:00 PM +0000,47.538757,-122.360988,"(47.538757, -122.360988)",F110102266
5200 Rainier Av S,Motor Vehicle Accident,11/03/2011 09:39:00 PM +0000,47.555697,-122.283251,"(47.555697, -122.283251)",F110102264
Wb Sr520 To Roanoke,Motor Vehicle Accident Freeway,11/03/2011 05:21:00 PM +0000,47.64319,-122.322092,"(47.64319, -122.322092)",F110102204
Lakeside Av S / Lake Washington Blvd S,Motor Vehicle Accident,11/03/2011 03:16:00 PM +0000,47.585551,-122.287515,"(47.585551, -122.287515)",F110102162
Beacon Av S / S Graham St,Motor Vehicle Accident,11/03/2011 08:34:00 AM +0000,47.546372,-122.300332,"(47.546372, -122.300332)",F110102098
11304 8th Av Ne,Motor Vehicle Accident,11/03/2011 04:58:00 AM +0000,47.710791,-122.320612,"(47.710791, -122.320612)",F110102071
30th Av Nw / Nw 70th St,Motor Vehicle Accident,11/03/2011 04:08:00 AM +0000,47.679485,-122.395695,"(47.679485, -122.395695)",F110102064
Stone Av N / N 130th St,Motor Vehicle Accident,11/03/2011 01:12:00 AM +0000,47.723211,-122.34228,"(47.723211, -122.34228)",F110102009
57TH AV SW / ALKI AV SW,Motor Vehicle Accident,11/02/2011 11:08:00 PM +0000,47.581277,-122.4052,"(47.581277, -122.4052)",F110101976
Rainier Av S / S Henderson St,Motor Vehicle Accident,11/02/2011 10:32:00 PM +0000,47.523307,-122.269986,"(47.523307, -122.269986)",F110101966
S Willow St / M L King Jr Way S,Motor Vehicle Accident,11/02/2011 02:22:00 PM +0000,47.54068,-122.282871,"(47.54068, -122.282871)",F110101750
Sb I5 At Ship Canal Bridge,Motor Vehicle Accident Freeway,11/02/2011 02:13:00 PM +0000,47.646334,-122.322987,"(47.646334, -122.322987)",F110101748
26th Av Sw / Sw Roxbury St,Motor Vehicle Accident,11/02/2011 04:26:00 AM +0000,47.517363,-122.365913,"(47.517363, -122.365913)",F110101674
50th Av Ne / Ne 70th St,Motor Vehicle Accident,11/01/2011 11:31:00 PM +0000,47.6794,-122.274301,"(47.6794, -122.274301)",F110101606
Corliss Av N / N Northgate Way,Motor Vehicle Accident,11/01/2011 10:52:00 PM +0000,47.708646,-122.331314,"(47.708646, -122.331314)",F110101603
Corliss Av N / N Northlake Way,Motor Vehicle Accident,11/01/2011 10:51:00 PM +0000,47.649905,-122.331329,"(47.649905, -122.331329)",F110101602
Wb I90 At Tunnel,Motor Vehicle Accident Freeway,11/01/2011 10:13:00 PM +0000,47.590516,-122.302426,"(47.590516, -122.302426)",F110101597
Midvale Av N / N 107th St,Motor Vehicle Accident,11/01/2011 07:52:00 PM +0000,47.706877,-122.34336,"(47.706877, -122.34336)",F110101553
M L King Jr Way S / S Dawson St,Motor Vehicle Accident,11/01/2011 05:59:00 PM +0000,47.555191,-122.289883,"(47.555191, -122.289883)",F110101521
27th Av S / Beacon Av S,Motor Vehicle Accident,11/01/2011 04:58:00 PM +0000,47.540181,-122.298183,"(47.540181, -122.298183)",F110101493
Ne 135th St / Lake City Way Ne,Motor Vehicle Accident,11/01/2011 02:50:00 AM +0000,47.726475,-122.292265,"(47.726475, -122.292265)",F110101325
Ne 50th St / Brooklyn Av Ne,Motor Vehicle Accident,11/01/2011 12:48:00 PM +0000,47.664908,-122.31421,"(47.664908, -122.31421)",F110101296
Wb Wsea Frwy At Delridge,Motor Vehicle Accident,10/31/2011 11:29:00 PM +0000,47.571142,-122.35688,"(47.571142, -122.35688)",F110101270
M L King Jr Way / E Marion St,Motor Vehicle Accident,10/31/2011 11:21:00 PM +0000,47.61001,-122.296231,"(47.61001, -122.296231)",F110101267
California Av Sw / Sw Edmunds St,Motor Vehicle Accident,10/31/2011 10:51:00 PM +0000,47.559325,-122.38683,"(47.559325, -122.38683)",F110101265
2001 15th Av W,Motor Vehicle Accident,10/31/2011 08:33:00 PM +0000,47.636271,-122.376139,"(47.636271, -122.376139)",F110101221
13th Av S / S Dawson St,Motor Vehicle Accident,10/31/2011 03:29:00 PM +0000,47.55563,-122.316122,"(47.55563, -122.316122)",F110101160
S Lander St / Airport Way S,Motor Vehicle Accident,10/31/2011 02:37:00 PM +0000,47.579503,-122.321398,"(47.579503, -122.321398)",F110101140
E Pike St / Broadway,Motor Vehicle Accident,10/31/2011 08:08:00 AM +0000,47.614076,-122.32078,"(47.614076, -122.32078)",F110101094
4801 Airport Way S,Motor Vehicle Accident,10/31/2011 03:44:00 AM +0000,47.559799,-122.32327,"(47.559799, -122.32327)",F110101046
N 40th St / Stone Way N,Motor Vehicle Accident,10/31/2011 02:25:00 AM +0000,47.655383,-122.342439,"(47.655383, -122.342439)",F110101035
15th Av Ne / Ne 107th St,Motor Vehicle Accident,10/31/2011 01:11:00 AM +0000,47.706699,-122.31243,"(47.706699, -122.31243)",F110101017
S Alaska St / M L King Jr Way S,Motor Vehicle Accident,10/30/2011 11:53:00 PM +0000,47.560808,-122.29324,"(47.560808, -122.29324)",F110100998
35th Av Ne / Ne 105th St,Motor Vehicle Accident,10/30/2011 08:27:00 PM +0000,47.704785,-122.290875,"(47.704785, -122.290875)",F110100918
Wb Wsea Frwy At Harbor,Motor Vehicle Accident Freeway,10/30/2011 06:21:00 PM +0000,47.571574,-122.365106,"(47.571574, -122.365106)",F110100887
N Pacific St / Eastern Av N,Motor Vehicle Accident,10/30/2011 04:19:00 PM +0000,47.652479,-122.329092,"(47.652479, -122.329092)",F110100844
43rd Av E / E Madison St,Motor Vehicle Accident,10/30/2011 08:59:00 AM +0000,47.636387,-122.27712,"(47.636387, -122.27712)",F110100779
M L King Jr Way S / S King St,Motor Vehicle Accident,10/30/2011 07:16:00 AM +0000,47.598059,-122.297449,"(47.598059, -122.297449)",F110100723
2nd Av / Cherry St,Motor Vehicle Accident,10/30/2011 06:51:00 AM +0000,47.603019,-122.333172,"(47.603019, -122.333172)",F110100712
Nb I5 At Spokane,Motor Vehicle Accident Freeway,10/30/2011 01:24:00 AM +0000,47.566974,-122.32047,"(47.566974, -122.32047)",F110100625
8th Av Nw / Nw 95th St,Motor Vehicle Accident,10/29/2011 08:49:00 PM +0000,47.697865,-122.366035,"(47.697865, -122.366035)",F110100547
Nb I5 At Ship Canal Bridge,Motor Vehicle Accident Freeway,10/29/2011 07:11:00 PM +0000,47.647664,-122.322393,"(47.647664, -122.322393)",F110100521
720 9th Av N,Motor Vehicle Accident,10/29/2011 08:49:00 AM +0000,47.625564,-122.339724,"(47.625564, -122.339724)",F110100385
400 Elliott Av W,Motor Vehicle Accident,10/29/2011 07:41:00 AM +0000,47.621573,-122.36202,"(47.621573, -122.36202)",F110100369
S Michigan St / East Marginal Way S,Motor Vehicle Accident,10/29/2011 04:31:00 AM +0000,47.544881,-122.331306,"(47.544881, -122.331306)",F110100319
32nd Av W / W Armour St,Motor Vehicle Accident,10/29/2011 04:28:00 AM +0000,47.644606,-122.398283,"(47.644606, -122.398283)",F110100317
Eb Wsea Frwy At 6,Motor Vehicle Accident Freeway,10/29/2011 03:52:00 AM +0000,47.571304,-122.325189,"(47.571304, -122.325189)",F110100307
N 35th St / Troll Av N,Motor Vehicle Accident,10/29/2011 03:01:00 AM +0000,47.650159,-122.34743,"(47.650159, -122.34743)",F110100291
M L King Jr Way S / S Willow St,Motor Vehicle Accident,10/29/2011 02:54:00 AM +0000,47.54068,-122.282871,"(47.54068, -122.282871)",F110100287
Nb I5 To Wsea Frwy,Motor Vehicle Accident Freeway,10/29/2011 02:26:00 AM +0000,47.569155,-122.319826,"(47.569155, -122.319826)",F110100279
Yesler Way / 6th Av S,Motor Vehicle Accident,10/29/2011 02:00:00 AM +0000,47.60171,-122.326351,"(47.60171, -122.326351)",F110100275
19th Av Ne / Ne 45th St,Motor Vehicle Accident,10/29/2011 12:02:00 PM +0000,47.661258,-122.307245,"(47.661258, -122.307245)",F110100250
35th Av Sw / Fauntleroy Way Sw,Motor Vehicle Accident,10/28/2011 11:32:00 PM +0000,47.565546,-122.376196,"(47.565546, -122.376196)",F110100239
Nickerson St / Cremona St,Motor Vehicle Accident,10/28/2011 11:20:00 PM +0000,47.649541,-122.357168,"(47.649541, -122.357168)",F110100235
Sb I5 To Columbian,Motor Vehicle Accident Freeway,10/28/2011 10:37:00 PM +0000,47.574458,-122.320215,"(47.574458, -122.320215)",F110100219
6th Av / Bell St,Motor Vehicle Accident,10/28/2011 09:08:00 PM +0000,47.616698,-122.342214,"(47.616698, -122.342214)",F110100202
24TH AV E / E INTERLAKEN BLVD,Motor Vehicle Accident,10/28/2011 09:07:00 PM +0000,47.634573,-122.301576,"(47.634573, -122.301576)",F110100200
Ne 107th St / 1st Av Ne,Motor Vehicle Accident,10/28/2011 09:06:00 PM +0000,47.706812,-122.328592,"(47.706812, -122.328592)",F110100199
Nb I5 At Albro,Motor Vehicle Accident Freeway,10/28/2011 08:55:00 PM +0000,47.548716,-122.311984,"(47.548716, -122.311984)",F110100194
Fairview Av N / Mercer St,Motor Vehicle Accident,10/28/2011 08:29:00 PM +0000,47.624265,-122.334285,"(47.624265, -122.334285)",F110100182
M L King Jr Way / E Denny Way,Motor Vehicle Accident,10/28/2011 07:36:00 PM +0000,47.618899,-122.296116,"(47.618899, -122.296116)",F110100166
Sw Myrtle St / 16th Av Sw,Motor Vehicle Accident,10/28/2011 07:14:00 PM +0000,47.53912,-122.354992,"(47.53912, -122.354992)",F110100158
Aurora Av N,Motor Vehicle Accident Freeway,10/28/2011 05:50:00 PM +0000,47.619228,-122.34375,"(47.619228, -122.34375)",F110100125
Ne 104th Way / Lake City Way Ne,Motor Vehicle Accident,10/28/2011 03:31:00 PM +0000,47.704199,-122.301612,"(47.704199, -122.301612)",F110100071
Corliss Av N / N Northgate Way,Motor Vehicle Accident,10/28/2011 01:16:00 PM +0000,47.708646,-122.331314,"(47.708646, -122.331314)",F110100041
20th Av W / W Dravus St,Motor Vehicle Accident,10/28/2011 01:58:00 AM +0000,47.648458,-122.381982,"(47.648458, -122.381982)",F110099940
7th Av Nw / Nw 92nd St,Motor Vehicle Accident,10/27/2011 11:40:00 PM +0000,47.696058,-122.364691,"(47.696058, -122.364691)",F110099908
8th Av / Madison St,Motor Vehicle Accident,10/27/2011 10:58:00 PM +0000,47.607945,-122.328471,"(47.607945, -122.328471)",F110099895
25th Av Ne / Ne Blakeley St,Motor Vehicle Accident,10/27/2011 09:49:00 PM +0000,47.666267,-122.300605,"(47.666267, -122.300605)",F110099881
6100 Corson Av S,Motor Vehicle Accident,10/27/2011 08:34:00 PM +0000,47.547987,-122.321315,"(47.547987, -122.321315)",F110099861
RAINIER AV S / S HOLLY ST,Motor Vehicle Accident,10/27/2011 08:03:00 PM +0000,47.542476,-122.272808,"(47.542476, -122.272808)",F110099847
16th Av S / S Jackson St,Motor Vehicle Accident,10/27/2011 07:15:00 PM +0000,47.599225,-122.311577,"(47.599225, -122.311577)",F110099834
23rd Av E / E Madison St,Motor Vehicle Accident,10/27/2011 05:07:00 AM +0000,47.619171,-122.302547,"(47.619171, -122.302547)",F110099695
Sb I5 At Ship Canal Bridge,Motor Vehicle Accident Freeway,10/26/2011 10:09:00 PM +0000,47.646334,-122.322987,"(47.646334, -122.322987)",F110099576
8228 45th Av Ne,Motor Vehicle Accident,10/26/2011 09:17:00 PM +0000,47.68799,-122.279893,"(47.68799, -122.279893)",F110099555
Aloha St / Queen Anne Av N,Motor Vehicle Accident,10/26/2011 05:24:00 AM +0000,47.627192,-122.35669,"(47.627192, -122.35669)",F110099398
11100 Roosevelt Way Ne,Motor Vehicle Accident,10/26/2011 02:45:00 AM +0000,47.709352,-122.317864,"(47.709352, -122.317864)",F110099366
1st Av S / S Andover St,Motor Vehicle Accident,10/25/2011 09:43:00 PM +0000,47.568385,-122.334206,"(47.568385, -122.334206)",F110099278
M L King Jr Way S / S Cloverdale St,Motor Vehicle Accident,10/25/2011 08:39:00 PM +0000,47.526114,-122.279265,"(47.526114, -122.279265)",F110099260
6th Av S / S Michigan St,Motor Vehicle Accident,10/25/2011 06:41:00 PM +0000,47.54625,-122.326153,"(47.54625, -122.326153)",F110099225
4030 Roosevelt Way Ne,Motor Vehicle Accident,10/25/2011 05:56:00 PM +0000,47.656302,-122.317834,"(47.656302, -122.317834)",F110099202
Rainier Av S / S Andover St,Motor Vehicle Accident,10/25/2011 05:44:00 PM +0000,47.567948,-122.289244,"(47.567948, -122.289244)",F110099200
M L King Jr Way S / S Washington St,Motor Vehicle Accident,10/25/2011 05:12:00 PM +0000,47.600864,-122.296936,"(47.600864, -122.296936)",F110099186
M L King Jr Way S / S Jackson St,Motor Vehicle Accident,10/25/2011 09:34:00 AM +0000,47.599233,-122.297415,"(47.599233, -122.297415)",F110099126
14th Av S / S Hill St,Motor Vehicle Accident,10/25/2011 08:52:00 AM +0000,47.584548,-122.314684,"(47.584548, -122.314684)",F110099120
Wb Wsea Frwy To Delridge,Motor Vehicle Accident,10/25/2011 04:29:00 AM +0000,47.571142,-122.35688,"(47.571142, -122.35688)",F110099066
9460 Rainier Av S,Motor Vehicle Accident,10/25/2011 03:48:00 AM +0000,47.520278,-122.2625,"(47.520278, -122.2625)",F110099054
M L King Jr Way S / S Columbian Way,Motor Vehicle Accident,10/25/2011 12:45:00 PM +0000,47.562828,-122.294757,"(47.562828, -122.294757)",F110099016
E Newton St / Eastlake Av E,Motor Vehicle Accident,10/24/2011 10:39:00 PM +0000,47.636766,-122.325899,"(47.636766, -122.325899)",F110098989
35th Av Sw / Sw Barton St,Motor Vehicle Accident,10/24/2011 09:09:00 PM +0000,47.52107,-122.376761,"(47.52107, -122.376761)",F110098965
SB I5 AT NORTHGATE,Motor Vehicle Accident Freeway,10/24/2011 07:07:00 PM +0000,47.706245,-122.330019,"(47.706245, -122.330019)",F110098924
M L King Jr Way / E Cherry St,Motor Vehicle Accident,10/24/2011 03:06:00 PM +0000,47.607997,-122.296254,"(47.607997, -122.296254)",F110098854
Ne 45th St / 9th Av Ne,Motor Vehicle Accident,10/24/2011 03:06:00 PM +0000,47.661304,-122.31842,"(47.661304, -122.31842)",F110098856
Sb I5 At Northgate,Motor Vehicle Accident Freeway,10/24/2011 02:47:00 PM +0000,47.706245,-122.330019,,F110098844
Nb I5 At Mercer,Motor Vehicle Accident Freeway, 2011-10-24T24:22:00+0000,47.620184,-122.328213,,F110098817
Sb I5 At Mercer,Motor Vehicle Accident Freeway,10/24/2011 11:52:00 AM +0000,47.622727,-122.328659,,F110098809
University St / Alaskan Way,Motor Vehicle Accident,10/24/2011 05:45:00 AM +0000,47.605911,-122.340413,,F110098769
Wb I90 At I5,Motor Vehicle Accident Freeway,10/24/2011 05:06:00 AM +0000,47.593366,-122.322191,,F110098756
4th Av S / S Lander St,Motor Vehicle Accident,10/23/2011 09:03:00 AM +0000,47.579809,-122.329057,,F110098509
4th Av S / S Lucile St,Motor Vehicle Accident,10/23/2011 05:52:00 AM +0000,47.553399,-122.329551,,F110098470
S Albro Pl / Swift Av S,Motor Vehicle Accident,10/23/2011 04:01:00 AM +0000,47.548886,-122.311131,,F110098429
Sb I5 To Corson,Motor Vehicle Accident Freeway,10/22/2011 10:22:00 PM +0000,47.559045,-122.321742,,F110098328
4332 Leary Way Nw,Motor Vehicle Accident,10/22/2011 09:47:00 PM +0000,47.659578,-122.365329,,F110098314
Roosevelt Way Ne / Ne 75th St,Motor Vehicle Accident,10/22/2011 08:41:00 PM +0000,47.683111,-122.31749,,F110098294
9717 8th Av Nw,Motor Vehicle Accident,10/22/2011 07:41:00 PM +0000,47.700237,-122.366048,,F110098275
Sb I5 At 50,Motor Vehicle Accident Freeway,10/22/2011 07:19:00 PM +0000,47.661199,-122.322412,,F110098269
Nb I5 At Tullys,Motor Vehicle Accident Freeway,10/22/2011 06:16:00 PM +0000,47.57679,-122.319476,,F110098250
Nb I5 To Eb I90,Motor Vehicle Accident Freeway,10/22/2011 04:19:00 PM +0000,47.587138,-122.320156,,F110098215
13410 Greenwood Av N,Motor Vehicle Accident,10/22/2011 04:06:00 PM +0000,47.726531,-122.355554,,F110098211
Rainier Av S / M L King Jr Way S,Motor Vehicle Accident,10/22/2011 02:58:00 PM +0000,47.576359,-122.29663,,F110098194
Rainier Av S / S Jackson St,Motor Vehicle Accident,10/22/2011 01:57:00 PM +0000,47.59921,-122.314137,,F110098188
19th Av / E Madison St,Motor Vehicle Accident,10/22/2011 07:33:00 AM +0000,47.616733,-122.307409,,F110098121
Russell Av Nw / Nw Ione Pl,Motor Vehicle Accident,10/22/2011 12:27:00 PM +0000,47.666084,-122.380056,,F110098021
Kirkwood Pl N / East Green Lake Way N,Motor Vehicle Accident,10/22/2011 12:18:00 PM +0000,47.673739,-122.33571,,F110098015
Nb I5 At Spokane,Motor Vehicle Accident Freeway,10/22/2011 12:09:00 PM +0000,47.566974,-122.32047,,F110098011
7431 Rainier Av S,Motor Vehicle Accident,10/21/2011 10:56:00 PM +0000,47.534984,-122.269982,,F110097992
Rainier Av S / S Walden St,Motor Vehicle Accident,10/21/2011 10:55:00 PM +0000,47.572919,-122.294006,,F110097990
Nb I5 To Northgate,Motor Vehicle Accident,10/21/2011 10:49:00 PM +0000,47.703742,-122.329381,,F110097989
43rd Av S / S Myrtle St,Motor Vehicle Accident,10/21/2011 10:18:00 PM +0000,47.538891,-122.279423,,F110097980
7019 16th Av Sw,Motor Vehicle Accident,10/21/2011 03:30:00 AM +0000,47.539033,-122.354992,,F110097779
Wb I90 At Tunnel,Motor Vehicle Accident Freeway,10/21/2011 12:13:00 PM +0000,47.590516,-122.302426,,F110097728
Nb I5 Exp To Lake City,Motor Vehicle Accident Freeway,10/20/2011 09:24:00 PM +0000,47.682137,-122.318804,,F110097677
Rainier Av S / S Garden St,Motor Vehicle Accident,10/19/2011 10:30:00 PM +0000,47.537643,-122.270433,"(47.537643, -122.270433)",F110097358
Nb I5 At Cherry,Motor Vehicle Accident Freeway,10/19/2011 06:00:00 PM +0000,47.602936,-122.326094,"(47.602936, -122.326094)",F110097290
1100 Sw Spokane St,Motor Vehicle Accident,10/19/2011 04:53:00 PM +0000,47.571654,-122.349243,,F110097269
EB WSEA FRWY TO COLUMBIAN,Motor Vehicle Accident Freeway,10/19/2011 04:25:00 PM +0000,47.572353,-122.31897,,F110097256
14th Av Nw / Nw 57th St,Motor Vehicle Accident,10/19/2011 03:15:00 AM +0000,47.67017,-122.373585,,F110097128
32nd Av Nw / Nw 59th St,Motor Vehicle Accident,10/19/2011 12:28:00 PM +0000,47.671291,-122.398331,,F110097095
Meridian Av N / N 107th St,Motor Vehicle Accident,10/18/2011 11:21:00 PM +0000,47.70685,-122.333961,,F110097073
1400 S LANE ST,Motor Vehicle Accident,10/18/2011 11:05:00 PM +0000,47.596654,-122.314056,,F110097069
M L King Jr Way / E Yesler Way,Motor Vehicle Accident,10/18/2011 01:14:00 AM +0000,47.601656,-122.296768,,F110096818
W Nickerson St / Queen Anne Av N,Motor Vehicle Accident,10/18/2011 12:26:00 PM +0000,47.649774,-122.357678,,F110096805
N 100th St / Aurora Av N,Motor Vehicle Accident,10/18/2011 12:17:00 PM +0000,47.70143,-122.344651,,F110096802
23rd Av / E James St,Motor Vehicle Accident,10/17/2011 11:04:00 PM +0000,47.606868,-122.302774,,F110096781
1718 N Northgate Way,Motor Vehicle Accident,10/17/2011 06:12:00 PM +0000,47.706389,-122.336731,,F110096701
Eb I90 At Tunnel,Motor Vehicle Accident Freeway,10/17/2011 04:42:00 PM +0000,47.590072,-122.302481,,F110096681
8th Av Sw / Sw Roxbury St,Motor Vehicle Accident,10/17/2011 04:09:00 PM +0000,47.517303,-122.345423,,F110096670
9400 16th Av Sw,Motor Vehicle Accident,10/17/2011 03:26:00 AM +0000,47.519196,-122.355145,,F110096550
Linden Av N / N 137th St,Motor Vehicle Accident,10/17/2011 02:29:00 AM +0000,47.728679,-122.347736,,F110096524
6500 West Marginal Way Sw,Motor Vehicle Accident,10/16/2011 10:35:00 PM +0000,47.543686,-122.344359,,F110096459
Sb I5 At Convention Center,Motor Vehicle Accident Freeway,10/16/2011 07:27:00 PM +0000,47.607412,-122.330402,,F110096428
